iter	RMSE
0	0.1378065946
1	0.1338677057
2	0.1301130725
3	0.126475311
4	0.1228737889
5	0.1194029572
6	0.1159987043
7	0.1127293524
8	0.1095166203
9	0.1064679336
10	0.1035605726
11	0.100644159
12	0.09774685884
13	0.09496116988
14	0.09232154268
15	0.08981915795
16	0.08728414475
17	0.08482961635
18	0.08248472029
19	0.08020954786
20	0.07791748781
21	0.07571182027
22	0.07368093289
23	0.07158087153
24	0.06956482169
25	0.06766312119
26	0.06574554928
27	0.06393824875
28	0.06215927075
29	0.06041196595
30	0.05876812709
31	0.05711878036
32	0.05555438695
33	0.05397077142
34	0.05246012296
35	0.05099144446
36	0.04959797733
37	0.04823471807
38	0.04690023495
39	0.04562619498
40	0.04434941502
41	0.04309387497
42	0.04190918212
43	0.04073707996
44	0.03959015843
45	0.03850167001
46	0.037438247
47	0.03641164428
48	0.03540971137
49	0.03441072047
50	0.03347581452
51	0.03254094381
52	0.03165825392
53	0.03078903997
54	0.02996828732
55	0.02919549489
56	0.02840463097
57	0.02763111499
58	0.02686528691
59	0.02614778119
60	0.02546394628
61	0.02479214637
62	0.02414384982
63	0.0235086696
64	0.02289154408
65	0.02229389486
66	0.02171445451
67	0.02117199683
68	0.02061914126
69	0.02009663123
70	0.01958822703
71	0.0190936635
72	0.01862051534
73	0.0181511931
74	0.01769528339
75	0.01724658451
76	0.01682467451
77	0.01641852283
78	0.01602087102
79	0.01563655361
80	0.0152628649
81	0.01491588459
82	0.01455752622
83	0.01422255529
84	0.01390408973
85	0.0135835651
86	0.01327806795
87	0.01298097897
88	0.01269369268
89	0.01242273564
90	0.01215338974
91	0.01188699079
92	0.01162945835
93	0.01139809869
94	0.01115502886
95	0.01092873076
96	0.01071636551
97	0.01050038461
98	0.01028852146
99	0.0100989343
100	0.00990703002
101	0.009728353816
102	0.009546788986
103	0.009378211565
104	0.00921511182
105	0.009050383507
106	0.008894182039
107	0.008756150286
108	0.008619826361
109	0.008477536001
110	0.008342840381
111	0.008209532377
112	0.008084552554
113	0.007970572684
114	0.007852848077
115	0.007748546558
116	0.007638297048
117	0.007531624924
118	0.007427885327
119	0.007337021046
120	0.007249818958
121	0.007157760365
122	0.007071098167
123	0.006996862962
124	0.006916555481
125	0.006842720598
126	0.006767267285
127	0.006697615906
128	0.006638487737
129	0.00657436004
130	0.006516313472
131	0.006456526831
132	0.006401909568
133	0.006352992474
134	0.006300197495
135	0.006253293379
136	0.006213000867
137	0.006167496586
138	0.006128728724
139	0.006092006421
140	0.006049321412
141	0.006015720346
142	0.00597756816
143	0.005943267462
144	0.005907384333
145	0.005874424469
146	0.005848306438
147	0.005816900057
148	0.005788522692
149	0.005759461866
150	0.005737466635
151	0.005711008993
152	0.005690050367
153	0.005669937481
154	0.005646462626
155	0.00562444666
156	0.005602477504
157	0.005580730654
158	0.005562578276
159	0.005547258229
160	0.005529371052
161	0.005514951209
162	0.005497668254
163	0.005483372987
164	0.00546736543
165	0.005451712885
166	0.0054387243
167	0.005425430489
168	0.005413242909
169	0.005395708442
170	0.005383484417
171	0.0053742851
172	0.005362222214
173	0.005351417392
174	0.005340851161
175	0.005332291246
176	0.005321941826
177	0.005313251258
178	0.005305596315
179	0.005296742294
180	0.005283972208
181	0.005277548847
182	0.005269149264
183	0.005261418916
184	0.00525499725
185	0.005247112356
186	0.005239503023
187	0.005228323537
188	0.005221712495
